Voltage/kV,Current/uA,Uncertainty/uA,CD,,,
0.172,0,0.01,0.04,,,
0.6148,0.01,0.01,0.04,,,
1.0582,0.02,0.01,0.04,,,
1.6386,0.03,0.01,0.04,,,
2.058,0.04,0.01,0.04,,,
0.07,0,0.01,0.04,,,
0.758,0.01,0.01,0.04,,,
1.27,0.02,0.01,0.04,,,
1.783,0.04,,0,,,
2.364,0.05,,0,,,
2.698,0.06,,0,,,
3.3,0.1,0.01,0.04,,,
,,,0,,,
3.56,0.11,,0,,,
3.67,0.11,,0,,,
3.78,0.12,,0,,,
3.95,0.14,,0,,,
4.11,0.18,,0,,,
4.24,0.26,0.04,0.16,,,
4.34,1,0.05,0.2,,,
4.3,0.6,0.07,0.28,,,
4.23,0.26,,0,,,
4.31,0.68,0.06,0.24,,,
4.27,0.39,0.04,0.16,,,
4.32,0.75,0.07,0.28,,,
4.33,0.85,0.05,0.2,,,
,,,,,,
,,,,,,
2500,,,,,,
0.25,,,,,,
